id,title,artist,timestamp,score
7qfur8OfEOABgenV3Wf0JK,Break The Law,Mac Miller,1533612176,1
15eduSFXnQfnQvcmWHDBPi,Down the Line,Beach Fossils,1533671254,1
0q3e8Pgy4sgy1dzq5JIWVC,Girls In Pearls,S.Maharba,1533671378,1
43tVqovviXhkmOV5LOkTn7,Burgundy,Earl Sweatshirt,1533671720,1
2ZPZvMqvT6JuUcm2WIt3Pe,Say It Again,Little Brother,1533671942,1
49fueUd2ik003xurF75RB6,Under the Sheets,HOMESHAKE,1533672192,1
2hEIf6XSRy6b0og01o6ovc,You See It,Curren$y,1533674422,1
4gT3mNJA8lnlkYFqGZ8IA2,Small Worlds,Mac Miller,1533674709,1
2LbL1HaoZrXrCR538uxUjl,Knight,Earl Sweatshirt,1533674908,1
4laPr385Muc7JizVBqH8Zr,Home,Illa J,1533675160,1
7JYrTk7mnJHUNn2WT3Rc0D,Jazzy Piano,Evil Needle,1533675348,1
3IZLJpA5FugqynOBT2SeJy,This Is The Life,Curren$y,1533675582,1
7Guni9Kv4cxajoglZLzfuN,Above The Clouds,Gang Starr,1533675798,1
11GUoW8GRCK21WDSrUcwnc,Be Strong,Thes One,1533675911,1
6gTsB6szFZhzDkVYY1JS9q,Huarache Ultras (Bonus),Fly Anakin,1533676007,1
0Io8vVaZcG4a10urnblF2H,Circle,Pac Div,1533677120,1
268V0Smf1rkcfKH40eVlHt,Lines,The Hics,1533677492,1
0Lti06D5MbTKj394SBlFla,Back 2 Basics,SLik d,1533677617,1
3InFcD65QGmnAC5NiFMEG9,Low Class Conspiracy,Quasimoto,1533677784,1
5IIq5uEYpUZoSjTEjqn7q1,La Di Da,The Internet,1533678016,1
4j8NMLIzPyNtGDmVBcz5ER,Best Me,Sylvan LaCue,1533678267,1
2VBMkgIQ2cT2uReXjniWsS,Reali(the)nd,NxWorries,1533678401,1
5X2wla7DcWJMoxfd6OU7WI,Dust and Ivory,Dirty Art Club,1533678541,1
6BLLIBwjOGQwec6vcXwct3,Khmlwugh,HOMESHAKE,1533678665,1
5RgriAx2GoIw4OGMH3UY7z,Toasted (feat. Devin the Dude),Joomanji,1533678800,1
48wH8bAxvBJO2l14GmNLz7,Wait for the Moment,Vulfpeck,1533686274,1
5RgriAx2GoIw4OGMH3UY7z,Toasted (feat. Devin the Dude),Joomanji,1533686499,1
5IIq5uEYpUZoSjTEjqn7q1,La Di Da,The Internet,1533686715,1
4htrQYWuhYis2w8DqLhpoU,wurkn class,lojii,1533686809,1
7HBtUA2lj3ljwCRVYsucmO,Nights Out,Metronomy,1533686965,1
0jHtHzXJtAbLOMeftlsYTb,Just A Memory,Dirty Art Club,1533687085,1
4rEd7E79dhWtr7lA4sAYX2,Au Revoir (with Milo),Botany,1533687138,1
49fueUd2ik003xurF75RB6,Under the Sheets,HOMESHAKE,1533687576,1
0q3e8Pgy4sgy1dzq5JIWVC,Girls In Pearls,S.Maharba,1533687648,1
1HGSEG87jSSNAjUZWTFE1y,Crystal Balls on Roll (South Africa),Dumbo Gets Mad,1533687875,1
5CvTu3oU1i3N1W57nt8JOm,Never Die (feat. Yasiin Bey),Golden Rules,1533688414,1
4gT3mNJA8lnlkYFqGZ8IA2,Small Worlds,Mac Miller,1533688685,1
0Xcy81PsJCOO6mhLZaQyQ4,Perfecto,Mac Miller,1533688913,1
5p7GiBZNL1afJJDUrOA6C8,Hurt Feelings,Mac Miller,1533689165,1
5cyoN7OqTcFyApYheHXQ9Y,Greenleaf,Generationals,1533689382,1
1Y2ExJJ9Dmb9po8K0ybSj3,All Caps,Madvillain,1533689508,1
18rQjB8xZ46yx4ZXbytc18,Whatgoesaround,Cookin Soul,1533689625,1
49fueUd2ik003xurF75RB6,Under the Sheets,HOMESHAKE,1533699057,1
5cfIibuUGxlrdXcNaWmAnQ,Get Along (feat. Anderson .Paak & Blu),Elements of Music,1533699316,1
1TquBahz02HCaxj8jy5tTo,Cab Deg,Good Morning,1533699654,1
4ir5WlzsgiP6TEbRtkhCGR,Willow Tree,Spillage Village,1533700199,1
5KaCn0CGbo2Mynq5VSgSya,Anemone,The Brian Jonestown Massacre,1533700752,1
5FHXxdJeq1iAE9PjDTEgyd,The World Is Yours,Nas,1533701040,1
6P6gCmvRjNwXAGTB6LhTdb,Home Turf,Charizma,1533701279,1
17JA4HlieSH7TY3pQk21MJ,Find a Topic (homies begged),Isaiah Rashad,1533706111,1
49fueUd2ik003xurF75RB6,Under the Sheets,HOMESHAKE,1533706333,1
040bfxASXZ4RHrb5my05ZT,Picbascassquiato,Chester Watson,1533706410,1
2q3CORdIL4VD2nZpjvOzKl,moan,eevee,1533706534,1
2EgKt2QKhU7GYCc73mBRR6,Lovage,MF DOOM,1533706770,1
2JEdPACPOWnh9VsnlmCtsl,Runners (feat. Defari),Evidence,1533709426,1
5adgXHhaKzZlmXojEuKNjl,Heat,HOMESHAKE,1533758718,1
49fueUd2ik003xurF75RB6,Under the Sheets,HOMESHAKE,1533758941,1
2iy8dyGv0pCf6C6e23OzyV,Say for Certain,Generationals,1533759431,1
4mK0JRfaDrdNpYDPV6SFHp,Lemonade Mimosas,Curren$y,1533759649,1
3JeT6Xcv6MlEHHylk8SKQ1,lovers’ carvings,Bibio,1533759891,1
1l2fOAombrcYiQ4N87P22P,I think I'm Full,Forgetful Florence,1533760150,1
17prKj790SV3s6n5ZoMEyg,Dynasties Long Fled,Decap & Brady Watt,1533760330,1
2uB9gUU1HLnHckvK2tylJM,Deeper,Freddie Gibbs,1533760562,1
63A66lAc7Kg91xnCfbE4SY,When Thugs Cry,Fly Anakin,1533760781,1
6gYqtFQqdXsNttPD2ze2kk,Modest,Isaiah Rashad,1533761001,1
522oSSdYJqadyIK80MOOqz,"Lakers (feat. Ab-Soul, Polyester the Saint)",Freddie Gibbs,1533761675,1
4iEOVEULZRvmzYSZY2ViKN,Left Hand Free,alt-J,1533761863,1
4qiuU8X6v2Bimr3lBjS98N,Know You Can,9th Wonder,1533762077,1
1B5BfvGVQ5fPtDN2K8tUdy,Memory Lane (Sittin' in da Park),Nas,1533762320,1
5rY9hTwEjt5pCN5dqY9FJu,A Letter,Blu & Exile,1533762415,1
5p7GiBZNL1afJJDUrOA6C8,Hurt Feelings,Mac Miller,1533762672,1
0q3e8Pgy4sgy1dzq5JIWVC,Girls In Pearls,S.Maharba,1533762764,1
